date,value
2016-46,53
2016-45,48
2016-44,60
2016-43,76
2016-42,49
2016-41,50
2016-40,39
2016-39,61
2016-38,36
2016-37,40
2016-36,47
2016-35,69
2016-34,85
2016-33,53
2016-32,103
2016-31,69
2016-30,121
2016-29,52
2016-28,47
2016-27,74
2016-26,96
2016-25,52
2016-24,58
2016-23,96
2016-22,88
2016-21,81
2016-20,61
2016-18,41
2016-17,70
2016-16,84
2016-15,54
2016-14,67
2016-13,42
2016-12,53
2016-11,95
2016-10,78
2016-9,57
2016-8,77
2016-7,55
2016-6,59
2016-5,66
2016-4,52
2016-3,54
2016-2,60
2016-1,34
2015-53,18
2015-52,38
2015-51,32
2015-49,40
2015-48,38
2015-47,37
2015-46,50
2015-45,51
2015-44,40
2015-43,37
2015-42,51
2015-41,50
2015-40,46
2015-39,89
2015-38,50
2015-37,74
2015-36,91
2015-35,136
2015-34,65
2015-33,28
2015-32,35
2015-31,17
2015-30,17
2015-29,105
2015-28,2
2015-27,1
